EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
4,ALABAMA,175,1149,174,995,99,87,1562346383,26132571559,466652,751378
10,ALASKA,40,51,38,39,95,76,118306091,3058383,45937,204
9,AMERICAN SAMOA,4,1,3,1,75,100,3965400,30433,88064,313
9,ARIZONA,76,91,68,89,89,98,1183144821,25203213,204597,1089
6,ARKANSAS,117,682,117,679,100,100,480816722,35303486,158308,29202
9,CALIFORNIA,227,186,213,170,94,91,3615514097,133751107,13445146,64252
8,COLORADO,124,423,119,270,96,64,839606449,274416254,149185,735367
1,CONNECTICUT,84,64,84,59,100,92,40227542,35927167,995021,9917
3,DELAWARE,15,32,14,27,93,84,11300465,467087,303848,880
3,DISTRICT OF COLUMBIA,4,7,4,5,100,71,8941589,157813,4715,661
4,FLORIDA,400,254,168,221,42,87,1465631727,211876312,780754,386636
4,GEORGIA,204,511,200,433,98,85,190080634,128435896,1218078,22033
9,GUAM,4,8,4,6,100,75,2541711,1034381,1485,12522
6,GULF OF MEXICO,,1,,0,,0,,,,
4,GULF OF MEXICO EAST,,1,,0,,0,,,,
9,HAWAII,18,87,16,24,89,28,45449292,3512167,13065,3253
10,IDAHO,38,129,37,111,97,86,101742569,79378923888,20429,1784
5,ILLINOIS,267,1227,267,1149,100,94,695936265,435121984,3665902,180312
5,INDIANA,192,8313,192,1521,100,18,1999601593,173130755,872262,10369
7,IOWA,143,1425,137,1119,96,79,119897519,51107101,157046,8745
7,KANSAS,58,1320,58,686,100,52,211951259,81026828,123330,5420
4,KENTUCKY,139,1223,137,1210,99,99,458480964,397049169,3617500,81727
6,LOUISIANA,243,1012,242,983,100,97,5428079835,14135092357,633116,393306819
1,MAINE,74,323,71,191,96,59,79757871,1247723,12655,2391
9,MARIANA ISLANDS,2,3,2,2,100,67,616047,0,8,0
3,MARYLAND,92,367,79,322,86,88,54322402,54416831,460962,11667
1,MASSACHUSETTS,118,65,113,56,96,86,165532466,994857964,628063,33288
5,MICHIGAN,183,667,174,358,95,54,894435217,719133202,254349,194025
5,MINNESOTA,102,539,99,314,97,58,2019766493,342634679,165587,16203
4,MISSISSIPPI,91,1055,90,999,99,95,56186999,190803177,88192,24992
7,MISSOURI,178,2649,178,1884,100,71,1068256336,374652367610,224473,542274994
8,MONTANA,32,142,31,126,97,89,75143467,28592108,63478,2356964
7,NEBRASKA,52,624,51,520,98,83,121363052,2783986421,51701,254327
9,NEVADA,15,82,10,68,67,83,716207883,31041662869,21040,34311709
1,NEW HAMPSHIRE,46,22,46,21,100,95,168169351,715565,516346,15786
2,NEW JERSEY,131,334,131,296,100,89,348913750,47252404,127454,8961
6,NEW MEXICO,31,77,31,75,100,97,151666268,11933293,55936980,17307
2,NEW YORK,310,1278,306,1059,99,83,960601062,3956208444,1072295,289715
4,NORTH CAROLINA,223,1151,214,831,96,72,226717666,4107924492,67091,81624
8,NORTH DAKOTA,23,81,23,78,100,96,155853613,28705757,70430,41768
5,OHIO,283,3001,282,2932,100,98,4054848369,1349516176,101404,76744
6,OKLAHOMA,106,342,104,339,98,99,2640191506,757115698,222268,13384
10,OREGON,73,269,66,240,90,89,169758824,24070598,41863,28347
3,PENNSYLVANIA,395,7504,390,3489,99,46,7076222566,4356038636,19674190,1498905
2,PUERTO RICO,63,136,63,134,100,99,2619976874,14562971,125166,2723
1,RHODE ISLAND,23,46,23,40,100,87,16882696,8389482,73713,1408
4,SOUTH CAROLINA,156,528,156,219,100,41,174306906,4405648,105613,273300
8,SOUTH DAKOTA,23,226,23,199,100,88,25027214,47966815,8467,1568
4,TENNESSEE,163,889,162,745,99,84,1316616462,75767875,730483,206739
6,TEXAS,730,2831,693,2127,95,75,13545407258,951382154,1218257,1090226
8,UTAH,42,173,40,93,95,54,510697963,171497203,242824,15414
1,VERMONT,34,299,33,136,97,45,11473122,1257613,14312,2782
2,VIRGIN ISLANDS,8,74,8,69,100,93,2694774,1737738094,831,2824
3,VIRGINIA,150,1017,139,904,93,89,406426969,138126469,201037,58754
10,WASHINGTON,77,373,51,185,66,50,514012,2154252,182,326
3,WEST VIRGINIA,88,1897,87,1647,99,87,526569818,8541239096,1056350,3436760
5,WISCONSIN,126,1154,120,595,95,52,160175775,249910892,22358,6805
8,WYOMING,24,565,24,484,100,86,50054341,2192493205,1447,18104562
